id,name,shit
4368,Москва,Москва (город федерального значения)
4079,Санкт-Петербург,Санкт-Петербург (город федерального значения)
4355,Нижний Новгород,Нижегородская область
4618,Самара,Самарская область
4565,Челябинск,Челябинская область
5136,Краснодар,Краснодарский край
4517,Екатеринбург,Свердловская область
4588,Уфа,Республика Башкортостан
4476,Пермь,Пермский край
5110,Ростов-на-Дону,Ростовская область
5032,Саратов,Саратовская область
4690,Новосибирск,Новосибирская область
4578,Омск,Омская область
5026,Воронеж,Воронежская область
5089,Волгоград,Волгоградская область
4720,Барнаул,Алтайский край
4501,Тюмень,Тюменская область
4364,Казань,Республика Татарстан
5039,Белгород,Белгородская область
4674,Красноярск,Красноярский край
4429,Тольятти,Самарская область
4508,Ижевск,Удмуртская республика
4569,Курган,Курганская область
5159,Оренбург,Оренбургская область
4292,Киров,Кировская область
4445,Пенза,Пензенская область
4721,Новокузнецк,Кемеровская область
4652,Томск,Томская область
4225,Калининград,Калининградская область
4407,Ульяновск,Ульяновская область
4693,Кемерово,Кемеровская область
4787,Иркутск,Иркутская область
4361,Чебоксары,Чувашская республика
3994,Сургут,Ханты-Мансийский автономный округ - Югра
4437,Липецк,Липецкая область
4534,Набережные Челны,Республика Татарстан
4392,Тула,Тульская область
4258,Брянск,Брянская область
4440,Тамбов,Тамбовская область
5141,Ставрополь,Ставропольский край
4394,Рязань,Рязанская область
4313,Ярославль,Ярославская область
5010,Курск,Курская область
3974,Нижневартовск,Ханты-Мансийский автономный округ - Югра
4239,Смоленск,Смоленская область
4613,Магнитогорск,Челябинская область
4478,Нижний Тагил,Свердловская область
12972,Воркута (а/п),Республика Коми
4327,Тверь,Тверская область
3934,Петрозаводск,Республика Карелия
5233,Сочи,Краснодарский край
4432,Орел,Орловская область
4278,Вологда,Вологодская область
5106,Таганрог,Ростовская область
5214,Новороссийск,Краснодарский край
4318,Иваново,Ивановская область
11975,Йошкар-Ола,Республика Марий Эл
4350,Владимир,Владимирская область
3915,Архангельск,Архангельская область
4520,Каменск-Уральский,Свердловская область
4566,Миасс,Челябинская область
4090,Великий Новгород,Новгородская область
4114,Псков,Псковская область
3989,Сыктывкар,Республика Коми
4285,Череповец,Вологодская область
5018,Балаково,Саратовская область
5130,Астрахань,Астраханская область
3903,Мурманск,Мурманская область
4401,Саранск,Республика Мордовия
4862,Хабаровск,Хабаровский край
5211,Анапа,Краснодарский край
4877,Владивосток,Приморский край
5024,Старый Оскол,Белгородская область
3993,Нефтеюганск,Ханты-Мансийский автономный округ - Югра
5213,Геленджик,Краснодарский край
4387,Калуга,Калужская область
5163,Орск,Оренбургская область
4608,Стерлитамак,Республика Башкортостан
3979,Ухта,Республика Коми
11934,Волжский,Волгоградская область
4314,Кострома,Костромская область
11940,Альметьевск,Республика Татарстан
4731,Бийск,Алтайский край
4563,Златоуст,Челябинская область
11961,Волгодонск,Ростовская область
4544,Ишим,Тюменская область
3966,Новый Уренгой,Ямало-Ненецкий автономный округ
4746,Братск,Иркутская область
4003,Ханты-Мансийск,Ханты-Мансийский автономный округ - Югра
11348,Прокопьевск,Кемеровская область
4853,Комсомольск-на-Амуре,Хабаровский край
5220,Армавир,Краснодарский край
4448,Сызрань,Самарская область
4298,Рыбинск,Ярославская область
5225,Пятигорск,Ставропольский край
5034,Энгельс,Саратовская область
11691,Нижнекамск,Республика Татарстан
5217,Туапсе,Краснодарский край
4144,Великие Луки,Псковская область
5095,Шахты,Ростовская область
