station,city
619710,Алдабра
619810,ЛеПор
619800,Сен-Дени
619840,Сен-Пьер
287854,Абакан
298620,Абакан (Хакасская)
294850,Абан
288150,Абдулино
223650,Абрамовский маяк
289080,Авангард
233830,Агата
246840,Агаякан
318250,Агзу
308590,Агинское (Забайкальский край)
296760,Агинское (Красноярский край)
351330,Адамовка
244210,Аджхал
233160,Адзва-вом
320570,Адо-Тымово
348770,Адык
347230,Азов
339610,Азовское
321530,Аиро-мисаки сакхалин
339980,Ай-Петри
339990,Ай-петри мтн
351270,Акбулак
364430,Аккем
287190,Аксаково
309570,Акша
350370,Акъяр
223010,Алакуртти
282480,Алапаевск
276790,Алатырь
310040,Алдан
299370,Алейская
274280,Александров
343910,Александров Гай
320610,Александровск-Сахалинский
290590,Александровскидж шлй
309710,Александровский Завод
239550,Александровское
295980,Алзамай
248780,Аллах-Юнь
239390,Алтай
339590,Алушта
298940,Алыгджер
306820,Амазар
250340,Амбарчик
249620,Амга
253720,Амгуэма
230220,Амдерма
309530,Амитхаша
315500,Амурск
216080,Анабар
255630,Анадырь
370010,Анапа
296740,Анастасино
307150,Ангарск
250170,Андрюшкино
295400,Анжеро-Судженск
342380,Анна
277870,Анненково
230580,Антипаюта
216270,Антипинский
319810,Анучино
250520,Апапелкхино
222130,Апатиты
222160,Апатиты (старая)
325710,Апача-ин-камчат
259560,Апука
243960,Арга
285480,Аргаджас
364570,Аргамджи
276530,Арзамас
349640,Арзгир
249880,Арка
246980,Аркагала
370310,Армавир
259110,Арман
275930,Арск
319740,Артем
297720,Артёмовск
283460,Артемовский
284380,Арти
304060,Артюмедж
317230,Архангеловка
287260,Архангелскодже
225500,Архангельск
315940,Архара
285220,Аскино
315880,Асташикна
319210,Астраханка
348800,Астрахань
353942,Астрахань
259020,Атка
340690,Аткарск
281140,Афанасйево
376630,Ахты
370660,Ачикулак
294670,Ачинск
272255,Аэропорт Туношна
313720,Аяк
311680,Аян
270080,Бабаево
371690,Бабаюрт
308220,Бабушкин
305540,Багдарин
308030,Баго-горхон
267050,Багратионовск
